,location,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,is_asia,is_europe,is_africa,is_north_america,is_south_america,is_oceania
12,Bahrain,229977.01583333328,4433.462333333334,806.4046666666667,0.28600000000000003,15.323666666666668,0.26333333333333336,3.8166666666666664,70.09333333333332,68.37333333333332,50.93,1935.907,32.4,2.372,1.3869999999999998,43290.70500000001,0.7763377237846559,151.689,16.52,5.8,37.6,2.0,77.29,0.852,1.0,0.0,0.0,0.0,0.0,0.0
13,Bangladesh,11055.580499999998,62.83599999999999,171.42650000000003,0.19499999999999998,0.25883333333333336,0.28486666666666666,3.5,58.5,37.5,68.52,1265.036,27.5,5.098,3.262,3523.9840000000004,14.799999999999999,298.003,8.38,1.0,44.699999999999996,0.7999999999999999,72.59000000000002,0.632,1.0,0.0,0.0,0.0,0.0,0.0
14,Barbados,162641.17316666667,2206.5195,987.1116666666667,3.4758333333333336,4.525389527460393,0.2990297939233331,3.5447857491800687,55.25666666666667,51.29,59.26,664.4630000000001,39.800000000000004,14.952,9.472999999999999,16978.068,1.608912733829591,170.04999999999998,13.569999999999999,1.9000000000000001,14.5,5.8,79.19,0.8140000000000001,0.0,0.0,0.0,1.0,0.0,0.0
15,Belarus,80381.36083333334,607.8308333333334,646.7846666666666,1.6768333333333334,3.7548333333333335,0.09406666666666667,11.450000000000001,57.050000000000004,46.31,23.150000000000002,46.858000000000004,40.300000000000004,14.799000000000001,9.787999999999998,17167.967,0.8009423701749689,443.12899999999996,5.18,10.5,46.1,11.0,74.79,0.8230000000000001,0.0,1.0,0.0,0.0,0.0,0.0
16,Belgium,280390.8483333333,2017.3508333333332,2508.539166666667,2.5073333333333334,7.450166666666665,0.4121666666666666,2.433333333333333,78.87666666666667,76.58500000000001,50.0,375.564,41.800000000000004,18.570999999999998,12.849000000000002,42658.575999999994,0.19999999999999998,114.89800000000001,4.29,25.099999999999998,31.400000000000002,5.64,81.63,0.9309999999999999,0.0,1.0,0.0,0.0,0.0,0.0
17,Belize,131142.33816666668,1258.2886666666666,1553.412,1.6464999999999999,4.607666666666667,0.25543333333333335,3.933333333333333,57.550000000000004,50.49,72.22000000000001,16.426,25.0,3.853,2.279,7824.362,2.157197571064602,176.957,17.11,4.395570539319256,44.15497421803544,1.3,74.62,0.7160000000000001,0.0,0.0,0.0,1.0,0.0,0.0
18,Benin,2127.5344999999998,0.6425,13.091,0.0,0.047332330672320164,0.16985425853641756,27.878987886592927,18.23,14.200000000000001,53.699999999999996,99.11,18.8,3.2439999999999998,1.942,2064.2360000000003,49.6,235.84799999999998,0.9900000000000001,0.6,12.299999999999999,0.5,61.77,0.545,0.0,0.0,1.0,0.0,0.0,0.0
20,Bhutan,7238.962333333334,256.6568333333333,5.128999999999999,0.0,13.199833333333332,0.018483333333333334,54.75,76.19,73.24,75.46,21.188000000000002,28.599999999999998,4.884999999999999,2.977,8708.597,1.5,217.066,9.75,1.4242828551977527,35.799709685069786,1.7,71.77999999999999,0.654,1.0,0.0,0.0,0.0,0.0,0.0
21,Bolivia,73253.79766666667,225.97933333333333,1781.1865,2.507166666666667,1.1518333333333335,0.2687,3.766666666666667,57.10666666666666,44.921666666666674,29.63,10.202,25.400000000000002,6.704,4.393,6885.829000000001,7.1000000000000005,204.299,6.89,6.214876121890936,42.1413817389623,1.0999999999999999,71.51,0.718,0.0,0.0,0.0,0.0,1.0,0.0
22,Bosnia and Herzegovina,108087.05300000001,350.2418333333333,4477.457833333334,11.490833333333333,1.2283471887279587,0.38645327588283757,2.6798900935968466,28.900000000000002,25.900000000000002,36.11000000000001,68.496,42.5,16.569000000000003,10.710999999999999,11713.895000000002,0.19999999999999998,329.635,10.08,30.2,47.699999999999996,3.5,77.39999999999999,0.7800000000000001,0.0,1.0,0.0,0.0,0.0,0.0
